rErrorMsg,rWouldTakeAgain,rClass,rTextBookUse,easyColor,teacherGrade,rEasy,rClarity,usefulGrouping,rInterest,sId,quality,id,rStatus,attendance,teacherRatingTags,rOverallString,rComments,rDate,TeacherID,takenForCredit,onlineClass,notHelpCount,rHelpful,teacher,helpColor,rEasyString,unUsefulGrouping,rOverall,helpCount,clarityColor
,N/A,CSE360,Yes,poor,N/A,1,5,people,Really into it,45,awesome,12784120,1,N/A,[],5.0,"Nice Professor. She makes the class easy. Enough time to finish Project. Grades easily. Quizzes are easy, with open book/neighbor. Group work required in this class. She drops one of 3 exams, even the final one. The midterm guide is very helpful, and she gives us plenty of cheat sheets to use, 2 sheets doublesided. Average of class was an A+.",01/17/2007,387339,N/A,,0,5,,good,1.0,people,5,0,good
,N/A,CSE200,N/A,average,N/A,2,3,people,Low,45,good,11990518,1,N/A,[],4.0,"Java class was difficult only because I had NO Java experience.  This is a breeze for someone that knows anything about programming.  She was always available for help with writing program.  I had a hard time understanding her english sometimes.  Also, class was a bit rowdy with students she couldn't control.  Way to go ASU students :(",06/09/2006,387339,N/A,,0,5,,good,2.0,people,4,0,average
,N/A,CSE200,N/A,average,N/A,2,3,people,Really into it,45,good,11717709,1,N/A,[],4.0,She is an excellent teacher.  She cares about everyone and if you just go to her class she will do you well.  Also just get your assignments done and the test will be easy.  TAKE THE CLASS!!!!,04/17/2006,387339,N/A,,0,5,,good,2.0,people,4,0,average
,N/A,CSE200,N/A,poor,N/A,1,5,people,Meh,45,awesome,11058261,1,N/A,[],5.0,"AWESOME! dude- she's funny and she makes all the tests really easy because of the cheat sheets. For those who posted negatively to Nakamura, I bet they're reaaaally lazy. I'm lazy, and got a 98% on her class. I love her accent, but yeah, be sure to be paying attention in class 'cause a mistake is bound to happen, specially when dealing with java.",12/05/2005,387339,N/A,,0,5,,good,1.0,people,5,0,good
,N/A,CSE200,N/A,average,N/A,3,2,people,Sorta interested,45,good,10922707,3,N/A,[],3.5,No Comments,11/16/2005,387339,N/A,,0,5,,average,3.0,people,3.5,0,average
,N/A,CSE200,N/A,poor,N/A,1,3,people,It's my life,45,good,10634584,1,N/A,[],4.0,"She's really easy. No final and drops one test and one assignment. She gives more time for the assignments if she sees that many students are having trouble with it. She gives 1 extra credit for the quizes she hands in class. Tests are easy, but assignments can be tricky since what you learn is totally new. But, generally she's very easy.",10/25/2005,387339,N/A,,0,5,,good,1.0,people,4,0,average
,N/A,CSE200,N/A,good,N/A,5,1,people,Sorta interested,45,poor,10615858,1,N/A,[],1.5,No Comments,10/20/2005,387339,N/A,,0,2,,poor,5.0,people,1.5,0,poor
,N/A,CSE200,N/A,average,N/A,2,3,people,It's my life,45,good,3533217,1,N/A,[],4.0,She makes CSE200 an easy class.  Taking this class with Nakamura will result in an easy A.,03/31/2005,387339,N/A,,0,5,,good,2.0,people,4,0,average
,N/A,CSE200,N/A,poor,N/A,1,5,people,It's my life,45,awesome,2595667,1,N/A,[],5.0,Great teacher she lets you use a cheat sheet on the tests and gives you plenty of times for the programs. She also set back the due date sometime if kids werent finished. Everyone aces the test.,10/26/2004,387339,N/A,,0,5,,good,1.0,people,5,0,good
,N/A,CSE200,N/A,average,N/A,2,1,people,It's my life,45,awful,2543079,1,N/A,[],1.0,"She makes pretty dumb mistakes in class.  She seems nice, but she can't teach at all.  She speaks VERY softly and her accent makes it hard to hear ANYTHING shes saying.  What an unfortunate professor... :(",10/13/2004,387339,N/A,,0,1,,poor,2.0,people,1,0,poor
,N/A,CSE200,N/A,poor,N/A,1,2,people,N/A,45,poor,1970888,1,N/A,[],2.0,"lectures are very disorganized, she sounds like she knows how to program, but cannot teach it.  Accent makes her hard to understand at times, the class is easy if you have no problems with programming.",04/15/2004,387339,N/A,,0,2,,average,1.0,people,2,0,average
,Yes,CSE100,No,poor,A,1,4,people,N/A,45,good,26882169,1,Mandatory,"[u'Gives good feedback', u'Clear grading criteria', u""Skip class? You won't pass.""]",4.0,"He is a nice professor. Meet him during office hours and discuss difficulties. He explains well in class and once you understand the concept, you pass the tests. He offers some extra credit as well.",08/10/2016,1011373,Yes,,0,4,,good,1.0,people,4,0,good
,Yes,CSE100,Yes,average,C,2,4,people,N/A,45,good,26865410,1,Mandatory,"[u'LECTURE HEAVY', u'LOTS OF HOMEWORK', u'EXTRA CREDIT']",4.0,He most definitely understands the subject that he is teaching and I had no issues following along (I had experience coding beforehand though so it was mostly review).  It was taught just like how I learned it the first time.  You literally cannot fail.  I missed the final and a quiz and still passed with a C.  Just do the homework and extra credit,08/04/2016,1011373,Yes,online,0,4,,good,2.0,people,4,0,good
,N/A,CSE445,Yes,good,B+,4,2,people,N/A,45,average,26632380,1,Mandatory,"[u'BEWARE OF POP QUIZZES', u'Tough Grader', u'GROUP PROJECTS']",2.5,"Some what difficult to understand due to a heavy accent.  He tends to leave out key details about the mechanics of setting up projects (ever set up an ISS server? No, well he'll give you about 90% of the details, you'll get to guess and pray for the rest).  Tests were somewhat unclear.  He is helpful if you go to office hours. Boring lecturer.",05/22/2016,1011373,Yes,,1,3,,average,4.0,person,2.5,2,average
,N/A,CSE310,Yes,good,N/A,4,2,person,N/A,45,average,26630349,1,Not Mandatory,[u'LECTURE HEAVY'],2.5,"This guy is really bad at lectures. Explains things confusingly. Makes lots of typos on homework assignments (completely wrong indentation on pseudocode that makes it impossible to understand without asking him in class, and he can't explain anything clearly in class, so good luck with that).",05/21/2016,1011373,Yes,,0,3,,average,4.0,people,2.5,1,average
,N/A,CSE110,Yes,average,N/A,3,3,people,N/A,45,average,26405305,1,Not Mandatory,"[u'LECTURE HEAVY', u'Clear grading criteria']",3.0,"He would be great if he just spoke louder/turned up his microphone. Sit close to the front and pay a lot of attention, especially if this is your first programming class. The course is very simple and he's very fair, but you're going to have to make a big effort to try to understand what he's saying.",04/28/2016,1011373,Yes,,0,3,,average,3.0,people,3,0,average
,N/A,CSE110,Yes,good,N/A,4,2,people,N/A,45,average,26311439,1,Not Mandatory,[u'Tough Grader'],2.5,"Although this is supposed to be a beginner level course, it is not taught that way. Might be a good professor if you have a background in computer programming, or it's your major, but, if not, the class is very challenging.",04/16/2016,1011373,Yes,,0,3,,average,4.0,people,2.5,0,average
,N/A,CSE445,No,average,N/A,3,2,person,N/A,45,average,26284249,1,N/A,"[u'BEWARE OF POP QUIZZES', u'Tough Grader', u'GROUP PROJECTS']",2.5,"Projects are easy. Midterms are infuriating. Lectures are hard to follow. By ASU standards, he's amazing.",04/12/2016,1011373,Yes,,0,3,,average,3.0,people,2.5,1,average
,Yes,CSE494,No,average,A+,2,5,people,N/A,45,awesome,26281497,1,Mandatory,"[u'LOTS OF HOMEWORK', u'Participation matters']",5.0,"Took for mobile applications programming topic. Fantastic professor with easy to follow guidelines and HW. Expect A LOT of assignments, but it is necessary to practice all the skills you learn. Project is long so start early. Easy grader. Tests were easy enough to secure a B with minor studying.  Go to class to see his examples!! Swift  Awesome",04/12/2016,1011373,Yes,,0,5,,good,2.0,people,5,0,good
,N/A,CSE110,No,average,B+,3,2,people,Sorta interested,45,average,26172882,1,N/A,[u'BEWARE OF POP QUIZZES'],2.5,A little hard to understand.,03/22/2016,1011373,Yes,,0,3,,average,3.0,people,2.5,2,average
,N/A,CSE445,No,good,Not sure yet,5,1,people,Sorta interested,45,poor,26140307,3,N/A,"[u'GROUP PROJECTS', u'BEWARE OF POP QUIZZES', u'LOTS OF HOMEWORK']",2.0,"Not a fan. Doesn't seem to respect students' time/schedules. Assigns projects due one week away and overlaps project deadlines with midterm dates. His lectures are confusing and diagrams which he draws on the board are unhelpful. Maybe it's just me. A lot of people seem to give him very good ratings, just my opinion.",03/14/2016,1011373,Yes,,1,3,,average,5.0,person,2,8,poor
,N/A,CSE464,Yes,average,A,2,3,person,Really into it,45,average,26022817,1,Not Mandatory,"[u'Inspirational', u'Respected', u'BEWARE OF POP QUIZZES']",3.0,Fall 2015 Semester. The book is heavy with theory but quite good. Janaka is so quiet that it is hard to hear him in the front row. The homework is pretty easy but I found the tests hard to prepare for.  We barely scratched the surface of the syllabus ... unfortunately. Very underwhelming. I wish I would have taken another class.,02/03/2016,1011373,Yes,,0,3,,average,2.0,people,3,1,average
,Yes,CSE464,No,poor,B+,1,3,people,Sorta interested,45,good,25700691,1,Mandatory,"[u'Hilarious', u'LOTS OF HOMEWORK']",4.0,I found this guy to be pretty funny in a bad dad joke kind of way. He is very enthusiastic about teaching and tries to really help his students. On his tests you need to basically understand the overall concepts pretty well. Remember or write his terminology on your cheat sheet and you should get a B+ or A-. Some of the homework was unclear.,12/15/2015,1011373,Yes,,1,5,,good,1.0,person,4,0,average
,Yes,CSE394,No,average,A,2,5,people,Really into it,45,awesome,25594805,1,Mandatory,"[u'Clear grading criteria', u'Respected']",5.0,"Balasooriya is the best. Super nice guy. I'm sure no matter what class you have with him it'll be great. I had two classes with him this semester, both CSE394 and CSE464. The classes weren't too tough and I feel like I learned really useful material.  Take his class if you can.",12/08/2015,1011373,Yes,,0,5,,good,2.0,people,5,0,good
,N/A,CSE394,No,average,Not sure yet,3,4,people,Really into it,45,awesome,25579678,1,N/A,"[u'Gives good feedback', u'Hilarious']",4.5,"Professor Balasooriya is one of my favorite CS professors. He really wants students to learn the material properly, and he will always help you during office hours. Not a nit picky grader either. There are 2 midterms, the final exam is based on your end of the semester project and presentation. HW is weighted heavily, so make sure to complete it. ",12/07/2015,1011373,Yes,,0,5,,good,3.0,people,4.5,0,good
,Yes,CSE464,No,average,Not sure yet,2,3,people,Low,45,good,25557262,1,N/A,[u'LOTS OF HOMEWORK'],3.5,The class is centered mostly around doing 4 homework assignments which are all pretty easy. The tests can be a little tricky sometimes but are hard to fail.  He does in class assignments/quizzes which help with understanding the material. ,12/05/2015,1011373,Yes,,0,4,,average,2.0,people,3.5,0,average
,N/A,CSE205,Yes,good,A+,5,3,people,Sorta interested,45,good,25359403,3,N/A,"[u'BEWARE OF POP QUIZZES', u'EXTRA CREDIT', u""Skip class? You won't pass.""]",3.5,"Programming is a nightmare for me (NOT CS major!), yet I got A+ because: 1) I did the extra credit 2) Dedicated lots of time polishing HW code 3) Went to class everyday 4) Got with ppl in class that are amazingly good 5) Practice tests 6) Used the book in every way I could for HW.  He drops one test.. but I just skipped the final instead.  ",11/06/2015,1011373,Yes,,2,4,,average,5.0,people,3.5,2,average
,N/A,CSE360,No,average,B+,2,3,people,Really into it,45,good,25137811,1,Mandatory,"[u'GROUP PROJECTS', u'Tough Grader']",3.5,"He's kind of a tough grader, but the material is pretty easy to begin with. TestsQuizzes have a lot of short answer questions & are kind of hard (just studypractice concepts a lot). Group project is easy, if you have a good group. As a professor, really nice guy! He's WAY better than the other professor. Attendance sometimes mandatory.",08/20/2015,1011373,Yes,,0,4,,average,2.0,people,3.5,0,average
,N/A,360,Yes,good,A,4,1,person,It's my life,45,poor,25097953,1,Mandatory,"[u""Skip class? You won't pass."", u'LECTURE HEAVY', u'Tough Grader']",1.5,Very unclear with what he expects on quizzes and homework. Felt like pulling teeth to get help. Plays favorites (I was lucky enough to have a team member who talked sports with him frequently and I honestly feel this changed our scores). He's not the worst but I would avoid if possible.,08/06/2015,1011373,Yes,,2,2,,poor,4.0,people,1.5,1,poor
,N/A,CSE360,Yes,poor,A,1,3,people,It's my life,45,average,24980125,1,Mandatory,[u'Participation matters'],2.5,"Janaka plays favorites, so be sure to get in good favor quick. Class is loosely organized, but it's not hard. It makes sense if you understand what the class is about. Janaka will dodge all of your emails if he decides you aren't trying. He will randomly give quizzes for credit. Read the textbook for an edge on tests.",06/19/2015,1011373,Yes,,0,2,,average,1.0,people,2.5,0,average
,Yes,CSE598,Yes,average,N/A,2,4,people,Really into it,45,good,24837889,1,N/A,"[u'LOTS OF HOMEWORK', u'Gives good feedback']",4.0,"Very helpful and provides valuable feedback, provided you approach him. Assigns a lot of homework, which are clearly meant to gain further understanding of the material and hence they are very helpful if done honestly. Clear grading without any intention of demoralizing students. A massive vote up - would definitely take his class again and again.",05/15/2015,1011373,Yes,,0,4,,good,2.0,people,4,0,good
,Yes,CSE100,No,poor,A,1,4,people,N/A,45,good,26882169,1,Mandatory,"[u'Clear grading criteria', u'Gives good feedback', u""Skip class? You won't pass.""]",4.0,"He is a nice professor. Meet him during office hours and discuss difficulties. He explains well in class and once you understand the concept, you pass the tests. He offers some extra credit as well.",08/10/2016,1011373,Yes,,0,4,,good,1.0,people,4,0,good
,Yes,CSE100,Yes,average,C,2,4,people,N/A,45,good,26865410,1,Mandatory,"[u'EXTRA CREDIT', u'LECTURE HEAVY', u'LOTS OF HOMEWORK']",4.0,He most definitely understands the subject that he is teaching and I had no issues following along (I had experience coding beforehand though so it was mostly review).  It was taught just like how I learned it the first time.  You literally cannot fail.  I missed the final and a quiz and still passed with a C.  Just do the homework and extra credit,08/04/2016,1011373,Yes,online,0,4,,good,2.0,people,4,0,good
,N/A,CSE445,Yes,good,B+,4,2,people,N/A,45,average,26632380,1,Mandatory,"[u'GROUP PROJECTS', u'Tough Grader', u'BEWARE OF POP QUIZZES']",2.5,"Some what difficult to understand due to a heavy accent.  He tends to leave out key details about the mechanics of setting up projects (ever set up an ISS server? No, well he'll give you about 90% of the details, you'll get to guess and pray for the rest).  Tests were somewhat unclear.  He is helpful if you go to office hours. Boring lecturer.",05/22/2016,1011373,Yes,,1,3,,average,4.0,person,2.5,2,average
,N/A,CSE310,Yes,good,N/A,4,2,person,N/A,45,average,26630349,1,Not Mandatory,[u'LECTURE HEAVY'],2.5,"This guy is really bad at lectures. Explains things confusingly. Makes lots of typos on homework assignments (completely wrong indentation on pseudocode that makes it impossible to understand without asking him in class, and he can't explain anything clearly in class, so good luck with that).",05/21/2016,1011373,Yes,,0,3,,average,4.0,people,2.5,1,average
,N/A,CSE110,Yes,average,N/A,3,3,people,N/A,45,average,26405305,1,Not Mandatory,"[u'LECTURE HEAVY', u'Clear grading criteria']",3.0,"He would be great if he just spoke louder/turned up his microphone. Sit close to the front and pay a lot of attention, especially if this is your first programming class. The course is very simple and he's very fair, but you're going to have to make a big effort to try to understand what he's saying.",04/28/2016,1011373,Yes,,0,3,,average,3.0,people,3,0,average
,N/A,CSE110,Yes,good,N/A,4,2,people,N/A,45,average,26311439,1,Not Mandatory,[u'Tough Grader'],2.5,"Although this is supposed to be a beginner level course, it is not taught that way. Might be a good professor if you have a background in computer programming, or it's your major, but, if not, the class is very challenging.",04/16/2016,1011373,Yes,,0,3,,average,4.0,people,2.5,0,average
,N/A,CSE445,No,average,N/A,3,2,person,N/A,45,average,26284249,1,N/A,"[u'Tough Grader', u'BEWARE OF POP QUIZZES', u'GROUP PROJECTS']",2.5,"Projects are easy. Midterms are infuriating. Lectures are hard to follow. By ASU standards, he's amazing.",04/12/2016,1011373,Yes,,0,3,,average,3.0,people,2.5,1,average
,Yes,CSE494,No,average,A+,2,5,people,N/A,45,awesome,26281497,1,Mandatory,"[u'LOTS OF HOMEWORK', u'Participation matters']",5.0,"Took for mobile applications programming topic. Fantastic professor with easy to follow guidelines and HW. Expect A LOT of assignments, but it is necessary to practice all the skills you learn. Project is long so start early. Easy grader. Tests were easy enough to secure a B with minor studying.  Go to class to see his examples!! Swift  Awesome",04/12/2016,1011373,Yes,,0,5,,good,2.0,people,5,0,good
,N/A,CSE110,No,average,B+,3,2,people,Sorta interested,45,average,26172882,1,N/A,[u'BEWARE OF POP QUIZZES'],2.5,A little hard to understand.,03/22/2016,1011373,Yes,,0,3,,average,3.0,people,2.5,2,average
,N/A,CSE445,No,good,Not sure yet,5,1,people,Sorta interested,45,poor,26140307,3,N/A,"[u'LOTS OF HOMEWORK', u'BEWARE OF POP QUIZZES', u'GROUP PROJECTS']",2.0,"Not a fan. Doesn't seem to respect students' time/schedules. Assigns projects due one week away and overlaps project deadlines with midterm dates. His lectures are confusing and diagrams which he draws on the board are unhelpful. Maybe it's just me. A lot of people seem to give him very good ratings, just my opinion.",03/14/2016,1011373,Yes,,1,3,,average,5.0,person,2,8,poor
,N/A,CSE464,Yes,average,A,2,3,person,Really into it,45,average,26022817,1,Not Mandatory,"[u'BEWARE OF POP QUIZZES', u'Inspirational', u'Respected']",3.0,Fall 2015 Semester. The book is heavy with theory but quite good. Janaka is so quiet that it is hard to hear him in the front row. The homework is pretty easy but I found the tests hard to prepare for.  We barely scratched the surface of the syllabus ... unfortunately. Very underwhelming. I wish I would have taken another class.,02/03/2016,1011373,Yes,,0,3,,average,2.0,people,3,1,average
,Yes,CSE464,No,poor,B+,1,3,people,Sorta interested,45,good,25700691,1,Mandatory,"[u'Hilarious', u'LOTS OF HOMEWORK']",4.0,I found this guy to be pretty funny in a bad dad joke kind of way. He is very enthusiastic about teaching and tries to really help his students. On his tests you need to basically understand the overall concepts pretty well. Remember or write his terminology on your cheat sheet and you should get a B+ or A-. Some of the homework was unclear.,12/15/2015,1011373,Yes,,1,5,,good,1.0,person,4,0,average
,Yes,CSE394,No,average,A,2,5,people,Really into it,45,awesome,25594805,1,Mandatory,"[u'Clear grading criteria', u'Respected']",5.0,"Balasooriya is the best. Super nice guy. I'm sure no matter what class you have with him it'll be great. I had two classes with him this semester, both CSE394 and CSE464. The classes weren't too tough and I feel like I learned really useful material.  Take his class if you can.",12/08/2015,1011373,Yes,,0,5,,good,2.0,people,5,0,good
,N/A,CSE394,No,average,Not sure yet,3,4,people,Really into it,45,awesome,25579678,1,N/A,"[u'Hilarious', u'Gives good feedback']",4.5,"Professor Balasooriya is one of my favorite CS professors. He really wants students to learn the material properly, and he will always help you during office hours. Not a nit picky grader either. There are 2 midterms, the final exam is based on your end of the semester project and presentation. HW is weighted heavily, so make sure to complete it. ",12/07/2015,1011373,Yes,,0,5,,good,3.0,people,4.5,0,good
,Yes,CSE464,No,average,Not sure yet,2,3,people,Low,45,good,25557262,1,N/A,[u'LOTS OF HOMEWORK'],3.5,The class is centered mostly around doing 4 homework assignments which are all pretty easy. The tests can be a little tricky sometimes but are hard to fail.  He does in class assignments/quizzes which help with understanding the material. ,12/05/2015,1011373,Yes,,0,4,,average,2.0,people,3.5,0,average
,N/A,CSE205,Yes,good,A+,5,3,people,Sorta interested,45,good,25359403,3,N/A,"[u'BEWARE OF POP QUIZZES', u""Skip class? You won't pass."", u'EXTRA CREDIT']",3.5,"Programming is a nightmare for me (NOT CS major!), yet I got A+ because: 1) I did the extra credit 2) Dedicated lots of time polishing HW code 3) Went to class everyday 4) Got with ppl in class that are amazingly good 5) Practice tests 6) Used the book in every way I could for HW.  He drops one test.. but I just skipped the final instead.  ",11/06/2015,1011373,Yes,,2,4,,average,5.0,people,3.5,2,average
,N/A,CSE360,No,average,B+,2,3,people,Really into it,45,good,25137811,1,Mandatory,"[u'Tough Grader', u'GROUP PROJECTS']",3.5,"He's kind of a tough grader, but the material is pretty easy to begin with. TestsQuizzes have a lot of short answer questions & are kind of hard (just studypractice concepts a lot). Group project is easy, if you have a good group. As a professor, really nice guy! He's WAY better than the other professor. Attendance sometimes mandatory.",08/20/2015,1011373,Yes,,0,4,,average,2.0,people,3.5,0,average
,N/A,360,Yes,good,A,4,1,person,It's my life,45,poor,25097953,1,Mandatory,"[u'LECTURE HEAVY', u'Tough Grader', u""Skip class? You won't pass.""]",1.5,Very unclear with what he expects on quizzes and homework. Felt like pulling teeth to get help. Plays favorites (I was lucky enough to have a team member who talked sports with him frequently and I honestly feel this changed our scores). He's not the worst but I would avoid if possible.,08/06/2015,1011373,Yes,,2,2,,poor,4.0,people,1.5,1,poor
,N/A,CSE360,Yes,poor,A,1,3,people,It's my life,45,average,24980125,1,Mandatory,[u'Participation matters'],2.5,"Janaka plays favorites, so be sure to get in good favor quick. Class is loosely organized, but it's not hard. It makes sense if you understand what the class is about. Janaka will dodge all of your emails if he decides you aren't trying. He will randomly give quizzes for credit. Read the textbook for an edge on tests.",06/19/2015,1011373,Yes,,0,2,,average,1.0,people,2.5,0,average
,Yes,CSE598,Yes,average,N/A,2,4,people,Really into it,45,good,24837889,1,N/A,"[u'Gives good feedback', u'LOTS OF HOMEWORK']",4.0,"Very helpful and provides valuable feedback, provided you approach him. Assigns a lot of homework, which are clearly meant to gain further understanding of the material and hence they are very helpful if done honestly. Clear grading without any intention of demoralizing students. A massive vote up - would definitely take his class again and again.",05/15/2015,1011373,Yes,,0,4,,good,2.0,people,4,0,good
,N/A,CSE100,Yes,average,N/A,3,3,people,Really into it,45,good,24734151,1,N/A,"[u'LOTS OF HOMEWORK', u'EXTRA CREDIT', u'Get ready to read']",3.5,"He made things simple to understand.  Be careful on the tests because you have to pay attention to extremely specific details.  As long as you read all the material, do all the homework and labs and have a good understanding, you'll get an A.  He goes somewhat easy on the grading and does give extra credit.",05/04/2015,1011373,Yes,,0,4,,average,3.0,people,3.5,0,average
,Yes,CSE360,No,average,N/A,3,3,people,It's my life,45,good,24719283,1,N/A,"[u'LECTURE HEAVY', u'GROUP PROJECTS']",3.5,"This is the 2nd class that I've had with Balasooriya and I am happy to be taking CSE 464 with him next semester. Overall, he makes the class a lot simpler than it could be. Just be sure stay on top of the project and study thoroughly before tests. Tests aren't bad, it's just that solutions can be quite ambiguous, so it's best to study his examples ",05/01/2015,1011373,Yes,,0,4,,average,3.0,people,3.5,0,average
,N/A,CSE360,Yes,average,N/A,3,1,people,It's my life,45,awful,24660761,1,Mandatory,"[u'LECTURE HEAVY', u'BEWARE OF POP QUIZZES']",1.0,"He teaches SQUAT! Nothing he teaches is in relation to what the class project is about. He will absolutely be of NO help for any project related issues. Having said that he is an easy grader and his exams are based out of his power points and class lecture. However, he is lazy and never responds to an email, has mistakes in his powerpoints .",04/24/2015,1011373,Yes,,5,1,,poor,3.0,people,1,7,poor
,Yes,CSE598,Yes,poor,A+,1,5,people,Really into it,45,awesome,24239537,1,Not Mandatory,"[u'Respected', u'Amazing lectures']",4.5,He is a great professor who explains through practical examples. Course is very practical and helpful.,01/06/2015,1011373,Yes,,0,4,,good,1.0,people,4.5,0,good
,N/A,CSE445,Yes,poor,B-,1,4,people,Meh,45,awesome,24118412,1,Mandatory,"[u'GROUP PROJECTS', u'Get ready to read', u'Hilarious']",4.5,"Like everybody else said, he's a good guy. The entire course follows Yinong Chen's book though which sucks. Balasooriya is funny though, and does everything he can to present the material from the book and give as much information about homework assignments.",12/17/2014,1011373,Yes,,1,5,,good,1.0,person,4.5,3,good
,Yes,CSE445CSE464,No,average,N/A,3,5,people,Sorta interested,45,awesome,24072500,1,Not Mandatory,[u'Hilarious'],5.0,"I took him for CSE 445 and 464 this semester. I really love this guy. Super chill and laid back, funny, and has a delightful demeanor. He usually lets you have cheat sheets for the tests, but the test does have curve ball questions not included in the lecture slides. Homework can be 2-15 hours depending (only 5 total). I wish I could take him again",12/14/2014,1011373,Yes,,1,5,,good,3.0,person,5,2,good
,N/A,CSE464,Yes,poor,N/A,1,4,people,Really into it,45,awesome,24050457,1,N/A,[],4.5,"An awesome professor! He's really nice and his lectures are relatively good compared to other professors. Homework assignments in the course are easy. Exams aren't that difficult either. Lots of diagrams, tables, and short writing in assignments and on exams. If you're looking for an easy, yet interesting 400 level class, this is one of them.",12/12/2014,1011373,Yes,,0,5,,good,1.0,people,4.5,0,good
,Yes,CSE445,No,average,A-,2,5,people,It's my life,45,awesome,23989119,1,Mandatory,"[u'Caring', u'Clear grading criteria']",5.0,"""Is That Correct ?""  If you can take any class with him DO NOT HESITATE. Easy Professor and you can learn a lot from him. He values student's projects much more than what their test scores. (Often 50% project and 30% exams on grading distribution). Quote from him - You can always show a person your project but no one cares about your test scores. ",12/08/2014,1011373,Yes,,1,5,,good,2.0,person,5,6,good
,N/A,598,Yes,average,N/A,2,4,people,Really into it,45,awesome,23823778,1,Not Mandatory,"[u'Clear grading criteria', u'Respected', u'Amazing lectures']",4.5,He is really a good prof. He is clear in terms of grading and tests. He takes a lot of in class quiz but they are easy and good. I would definitely recommend him.,11/16/2014,1011373,Yes,,2,5,,good,2.0,people,4.5,4,good
,N/A,CSE360,No,average,N/A,2,3,people,Really into it,45,good,23225298,1,N/A,[],4.0,Janaka is a good professor. He is fair and enthusiastic about the material. The group project was fun and he presented the material well. Drawbacks are that his quizes and tests are often very unclear to the point that the grade can be a really good or really bad surprise.,05/12/2014,1011373,N/A,,0,5,,good,2.0,people,4,4,average
,N/A,CSE360,Yes,poor,N/A,1,4,people,Sorta interested,45,awesome,23223072,1,N/A,[],4.5,"He's a decent instructor. Not bad, not too good... decent. His tests are like the slides. Has a few in class assignments/quizzes a semester.",05/12/2014,1011373,N/A,,0,5,,good,1.0,people,4.5,3,good
,N/A,CSE205,Yes,average,A,2,4,person,Really into it,45,awesome,23207120,1,Mandatory,[],4.5,"Great teacher! A real nice guy, and truly wants students to learn. Always explains homework assignments. Tests are relatively easy, and there is about a 5% curve for overall grade as well. Definitely recommend him for CSE 205.",05/09/2014,1011373,N/A,,0,5,,good,2.0,people,4.5,1,good
,N/A,CSE205,No,average,B,3,3,person,Really into it,45,good,23142681,1,Not Mandatory,[],4.0,Decent professor. He is a very sweet guy. Nicest professor I've had thus far at ASU. He really cares that the class understands the stuff he explains in lecture. The tests aren't that difficult and he always explains concepts in class that will be used on upcoming assignments. I would recommend him.,05/01/2014,1011373,N/A,,0,5,,good,3.0,people,4,1,average
,N/A,CSE205,No,poor,A+,1,4,person,It's my life,45,good,23111363,1,Not Mandatory,[],3.5,Nice teacher. Definitely tries to help if you have questions. Tests are quite simple and easy. Class is a breeze as long as you actually pay attention.,04/28/2014,1011373,N/A,,0,3,,average,1.0,people,3.5,1,good
,N/A,CSE360,No,average,B+,3,2,person,It's my life,45,average,23095011,1,Mandatory,[],2.5,"Potentially very useful class, but EXTREMELY unorganized professor. Project is fairly easy, just WAY too much useless paperwork. Don't have to pay attention if you want a B, but DEFINITELY have to study before quizzes/tests - mostly based on definitions/situational. Occasionally pop quizzes/assignments given in class. Rarely additional hw.",04/24/2014,1011373,N/A,,1,3,,average,3.0,person,2.5,1,average
,N/A,CSE360,No,average,N/A,2,2,person,Sorta interested,45,average,23015203,1,Mandatory,[],3.0,"Course material is kind of annoying and not very intuitive at first. You basically spend the first half of the semester talking about how to build software, and then you build it in the second half (but you can and should start coding early). Janaka can be ambiguous at times, but I hear other professors are much worse, so who knows.",04/09/2014,1011373,N/A,,0,4,,average,2.0,people,3,1,average
,N/A,CSE464,No,average,N/A,3,5,people,Low,45,awesome,22451722,1,N/A,[],5.0,"Dr. Balasooriya is very helpful and really cares about you. His lectures are very clear easy to understand once you get past the accent. His quiz and test questions can be hard to figure out in comparison. Keep up with the homework and in-class activities (and extra credit if you need it), and you shouldn't have any problems with this class.",12/06/2013,1011373,N/A,,0,5,,good,3.0,people,5,0,good
,N/A,CSE110,Yes,average,N/A,3,4,people,It's my life,45,good,21756745,1,N/A,[],4.0,I really enjoyed his class. I felt he had a good way of helping us visualize what we were doing. The labs correlated very well with what we were learning in class. I would definitely recommend him to any CS or CSE majors.,05/14/2013,1011373,N/A,,0,4,,good,3.0,people,4,0,good
,N/A,CSE110,Yes,poor,N/A,1,5,person,Really into it,45,awesome,21753970,1,N/A,[],4.5,"He moves at a very slow pace, but is incredibly thorough.  There are in class activities, but I stopped going and still got an A.  Labs and HW are very well coordinated with lecture material.  Exams can be long, but he provides a study guide for each of them.  If you can do everything on the study guide, you'll be fine.  Just read the book.",05/14/2013,1011373,N/A,,0,4,,good,1.0,people,4.5,1,good
,N/A,CSE360,No,average,N/A,3,2,people,Meh,45,average,21737143,1,N/A,[],2.5,"This class is terrible, however Janaka is one of the better prof's for the course. He seems to know his stuff well and can provide some insight to the how the industry works. The project is tough, lots of unnecessary paper work on top of coding...but you'll learn alot so whatev.. His tests are a bit ridiculous, however they dont count for much",05/11/2013,1011373,N/A,,0,3,,average,3.0,people,2.5,0,average
